MLM_envGWAS_N,MLM_envGWAS_NHx,FarmCPU_envGWAS_N,FarmCPU_envGWAS_NHx,Fst_N_maize,Fst_NHx_maize,MLM_envGWAS_N_sorghum,MLM_envGWAS_NHx_sorghum,FarmCPU_envGWAS_N_sorghum,FarmCPU_envGWAS_NHx_sorghum,Fst_N_Sorghum,Fst_NHx_sorghum,Fst_IndianChief,Fst_Jarvis,TajimaD_Jarvis,TajimaD_IndianChief
Zm00001eb230900,Zm00001eb206930,Zm00001eb356190,Zm00001eb265750,Zm00001eb191810,Zm00001eb132590,Zm00001eb079720,Zm00001eb130020,Zm00001eb181160,Zm00001eb314230,Zm00001eb436270,Zm00001eb305770,Zm00001eb020640,Zm00001eb237570,Zm00001eb248090,Zm00001eb287320
Zm00001eb089580,Zm00001eb206940,Zm00001eb356200,Zm00001eb366510,Zm00001eb191820,Zm00001eb132270,Zm00001eb267620,Zm00001eb239390,Zm00001eb359440,Zm00001eb386190,Zm00001eb331150,Zm00001eb433030,Zm00001eb020650,Zm00001eb237240,Zm00001eb248100,Zm00001eb287330
Zm00001eb249320,Zm00001eb206970,Zm00001eb356210,Zm00001eb366520,Zm00001eb191830,Zm00001eb132280,Zm00001eb197570,Zm00001eb323550,Zm00001eb184620,Zm00001eb181160,Zm00001eb034740,Zm00001eb339890,Zm00001eb020570,Zm00001eb094740,Zm00001eb248110,Zm00001eb287340
Zm00001eb249330,Zm00001eb329200,Zm00001eb104360,Zm00001eb366530,Zm00001eb191150,Zm00001eb235070,Zm00001eb048090,Zm00001eb072870,Zm00001eb358930,Zm00001eb395980,Zm00001eb387010,Zm00001eb305470,Zm00001eb020580,Zm00001eb094750,Zm00001eb234130,Zm00001eb390960
Zm00001eb249340,Zm00001eb329210,Zm00001eb104370,Zm00001eb366540,Zm00001eb191160,Zm00001eb136140,Zm00001eb125900,Zm00001eb285860,Zm00001eb339180,Zm00001eb339180,Zm00001eb095410,Zm00001eb308000,Zm00001eb020590,Zm00001eb094760,Zm00001eb226170,Zm00001eb413380
Zm00001eb205830,Zm00001eb329220,Zm00001eb104380,Zm00001eb042290,Zm00001eb191170,Zm00001eb136150,Zm00001eb230670,Zm00001eb189190,Zm00001eb073280,Zm00001eb322790,Zm00001eb307020,Zm00001eb418770,Zm00001eb020600,Zm00001eb094770,Zm00001eb226180,Zm00001eb347080
Zm00001eb205840,Zm00001eb329230,Zm00001eb393120,Zm00001eb042300,Zm00001eb191180,Zm00001eb028240,Zm00001eb177440,Zm00001eb122550,Zm00001eb230750,Zm00001eb291710,Zm00001eb331030,Zm00001eb308690,Zm00001eb173690,Zm00001eb094780,Zm00001eb226190,Zm00001eb391010
Zm00001eb205850,Zm00001eb231770,Zm00001eb393130,Zm00001eb206910,Zm00001eb191190,Zm00001eb054460,Zm00001eb141720,Zm00001eb397150,Zm00001eb247320,Zm00001eb073280,Zm00001eb111980,Zm00001eb390580,Zm00001eb173700,Zm00001eb094790,Zm00001eb319470,Zm00001eb391020
Zm00001eb205860,Zm00001eb231790,Zm00001eb361860,Zm00001eb206920,Zm00001eb191210,Zm00001eb268080,Zm00001eb117090,Zm00001eb269160,Zm00001eb305510,Zm00001eb334210,Zm00001eb034820,Zm00001eb126370,Zm00001eb173710,Zm00001eb094810,Zm00001eb319480,Zm00001eb391030
Zm00001eb205880,Zm00001eb231800,Zm00001eb361870,Zm00001eb206930,Zm00001eb191220,Zm00001eb268140,Zm00001eb366090,Zm00001eb174210,Zm00001eb011120,Zm00001eb055950,Zm00001eb178400,Zm00001eb067390,Zm00001eb173720,Zm00001eb094830,Zm00001eb319490,Zm00001eb413860
Zm00001eb205890,Zm00001eb231810,Zm00001eb361880,Zm00001eb206940,Zm00001eb191680,Zm00001eb268150,Zm00001eb394080,Zm00001eb291170,Zm00001eb018250,Zm00001eb299750,Zm00001eb351830,Zm00001eb331150,Zm00001eb225340,Zm00001eb094840,Zm00001eb319500,Zm00001eb372060
Zm00001eb130200,Zm00001eb323770,Zm00001eb137810,Zm00001eb206970,Zm00001eb191690,Zm00001eb268390,Zm00001eb364960,Zm00001eb209190,Zm00001eb065640,Zm00001eb246120,Zm00001eb436350,Zm00001eb407520,Zm00001eb149600,Zm00001eb094850,Zm00001eb131090,Zm00001eb372070
Zm00001eb130210,Zm00001eb427760,Zm00001eb137820,Zm00001eb231770,Zm00001eb191700,Zm00001eb130310,Zm00001eb278600,Zm00001eb252950,Zm00001eb377350,Zm00001eb142570,Zm00001eb199700,Zm00001eb067250,Zm00001eb017130,Zm00001eb094860,Zm00001eb131100,Zm00001eb351950
Zm00001eb130220,Zm00001eb427770,Zm00001eb333630,Zm00001eb231780,Zm00001eb191710,Zm00001eb311950,Zm00001eb043950,Zm00001eb309300,Zm00001eb408140,Zm00001eb336700,Zm00001eb271850,Zm00001eb034740,Zm00001eb318060,Zm00001eb018470,Zm00001eb131110,Zm00001eb351960
Zm00001eb115410,Zm00001eb219300,Zm00001eb333640,Zm00001eb231790,Zm00001eb191720,Zm00001eb184230,Zm00001eb412690,Zm00001eb061920,Zm00001eb019250,Zm00001eb070700,Zm00001eb345600,Zm00001eb336490,Zm00001eb318070,Zm00001eb018480,Zm00001eb259140,Zm00001eb351970
Zm00001eb115420,Zm00001eb059230,Zm00001eb333650,Zm00001eb231800,Zm00001eb192530,Zm00001eb235140,Zm00001eb253780,Zm00001eb218000,Zm00001eb232220,Zm00001eb011980,Zm00001eb351750,Zm00001eb387010,Zm00001eb318080,Zm00001eb018490,Zm00001eb259150,Zm00001eb140330
Zm00001eb115430,Zm00001eb059240,Zm00001eb333660,Zm00001eb231810,Zm00001eb192540,Zm00001eb026870,Zm00001eb314270,Zm00001eb145460,Zm00001eb071530,Zm00001eb355840,Zm00001eb434280,Zm00001eb123510,Zm00001eb138360,Zm00001eb018520,Zm00001eb259160,Zm00001eb140340
Zm00001eb115440,Zm00001eb222930,Zm00001eb158000,Zm00001eb015510,Zm00001eb193470,Zm00001eb026880,Zm00001eb236180,Zm00001eb212100,Zm00001eb276140,Zm00001eb159710,Zm00001eb163570,Zm00001eb351930,Zm00001eb138370,Zm00001eb018540,Zm00001eb259170,Zm00001eb140360
Zm00001eb115450,Zm00001eb063750,Zm00001eb158010,Zm00001eb015520,Zm00001eb193480,Zm00001eb233110,Zm00001eb097880,Zm00001eb212250,Zm00001eb247810,Zm00001eb071530,Zm00001eb202170,Zm00001eb223860,Zm00001eb003460,Zm00001eb183900,Zm00001eb279050,Zm00001eb140370
Zm00001eb115470,Zm00001eb063760,Zm00001eb193180,Zm00001eb015530,Zm00001eb193490,Zm00001eb342670,Zm00001eb070600,Zm00001eb021310,Zm00001eb430530,Zm00001eb238990,Zm00001eb066310,Zm00001eb095410,Zm00001eb003470,Zm00001eb183910,Zm00001eb279060,Zm00001eb140380
Zm00001eb115480,Zm00001eb063770,Zm00001eb193190,Zm00001eb015540,Zm00001eb268140,Zm00001eb181970,Zm00001eb072090,Zm00001eb169440,Zm00001eb171570,Zm00001eb355150,Zm00001eb111720,Zm00001eb345460,Zm00001eb091820,Zm00001eb421500,Zm00001eb383580,Zm00001eb140390
Zm00001eb115490,Zm00001eb063780,Zm00001eb193210,Zm00001eb320530,Zm00001eb268150,Zm00001eb409840,Zm00001eb394190,Zm00001eb062270,Zm00001eb008450,Zm00001eb008450,Zm00001eb242930,Zm00001eb307020,Zm00001eb205610,Zm00001eb421510,Zm00001eb248220,Zm00001eb139910
Zm00001eb115500,Zm00001eb393150,Zm00001eb022740,Zm00001eb320540,Zm00001eb225020,Zm00001eb241210,Zm00001eb231220,Zm00001eb058450,Zm00001eb239820,Zm00001eb239820,Zm00001eb303340,Zm00001eb156730,Zm00001eb205620,Zm00001eb418410,Zm00001eb248230,Zm00001eb318520
Zm00001eb115510,Zm00001eb393160,Zm00001eb022750,Zm00001eb320550,Zm00001eb235070,Zm00001eb241220,Zm00001eb212100,Zm00001eb051980,Zm00001eb410370,Zm00001eb369320,Zm00001eb305800,Zm00001eb035050,Zm00001eb162320,Zm00001eb237920,Zm00001eb174930,Zm00001eb318540
Zm00001eb313420,Zm00001eb393170,Zm00001eb207470,Zm00001eb320560,Zm00001eb193520,Zm00001eb235190,Zm00001eb212250,Zm00001eb113360,Zm00001eb066700,Zm00001eb062150,Zm00001eb330910,Zm00001eb111980,Zm00001eb162330,Zm00001eb128780,Zm00001eb075910,Zm00001eb318550
Zm00001eb389580,Zm00001eb031340,Zm00001eb207480,Zm00001eb320570,Zm00001eb193530,Zm00001eb132310,Zm00001eb014110,Zm00001eb107220,Zm00001eb314000,Zm00001eb267820,Zm00001eb420700,Zm00001eb319590,Zm00001eb162340,Zm00001eb128790,Zm00001eb075920,Zm00001eb318560
Zm00001eb389590,Zm00001eb330990,Zm00001eb207490,Zm00001eb372460,Zm00001eb191840,Zm00001eb136210,Zm00001eb387010,Zm00001eb249060,Zm00001eb050600,Zm00001eb066700,Zm00001eb085860,Zm00001eb230770,Zm00001eb162350,Zm00001eb128800,Zm00001eb383640,Zm00001eb287280
Zm00001eb189200,Zm00001eb331000,Zm00001eb207510,Zm00001eb372470,Zm00001eb191860,Zm00001eb136220,Zm00001eb335100,Zm00001eb352220,Zm00001eb105610,Zm00001eb314000,Zm00001eb351790,Zm00001eb123520,Zm00001eb201240,Zm00001eb128810,Zm00001eb225110,Zm00001eb287290
Zm00001eb189210,Zm00001eb331010,Zm00001eb207520,Zm00001eb372480,Zm00001eb191870,Zm00001eb136230,Zm00001eb405230,Zm00001eb250820,Zm00001eb107060,Zm00001eb197620,Zm00001eb345540,Zm00001eb123270,Zm00001eb201250,Zm00001eb128820,Zm00001eb225100,Zm00001eb281160
Zm00001eb189220,Zm00001eb330080,Zm00001eb207530,Zm00001eb372490,Zm00001eb191880,Zm00001eb409850,Zm00001eb223090,Zm00001eb218670,Zm00001eb434090,Zm00001eb235330,Zm00001eb307360,Zm00001eb034820,Zm00001eb122910,Zm00001eb128830,Zm00001eb428540,Zm00001eb281170
Zm00001eb100880,Zm00001eb330100,Zm00001eb392700,Zm00001eb237920,Zm00001eb191890,Zm00001eb307950,Zm00001eb351930,Zm00001eb404670,Zm00001eb071600,Zm00001eb252050,Zm00001eb127920,Zm00001eb103190,Zm00001eb122920,Zm00001eb128840,Zm00001eb428550,Zm00001eb281180
Zm00001eb100890,Zm00001eb015510,Zm00001eb392710,Zm00001eb296460,Zm00001eb191910,Zm00001eb136180,Zm00001eb173540,Zm00001eb388800,Zm00001eb390340,Zm00001eb195770,Zm00001eb308540,Zm00001eb351830,Zm00001eb122930,Zm00001eb128850,Zm00001eb319430,Zm00001eb281190
Zm00001eb100900,Zm00001eb015520,Zm00001eb392720,Zm00001eb296470,Zm00001eb191920,Zm00001eb181990,Zm00001eb142240,Zm00001eb413270,Zm00001eb267620,Zm00001eb293970,Zm00001eb146520,Zm00001eb126450,Zm00001eb017220,Zm00001eb128860,Zm00001eb319440,Zm00001eb287920
Zm00001eb100910,Zm00001eb015530,Zm00001eb392730,Zm00001eb296480,Zm00001eb190630,Zm00001eb385190,Zm00001eb367050,Zm00001eb093890,Zm00001eb069390,Zm00001eb221970,Zm00001eb400550,Zm00001eb271850,Zm00001eb017230,Zm00001eb128870,Zm00001eb056280,Zm00001eb287930
Zm00001eb100920,Zm00001eb015540,Zm00001eb427190,Zm00001eb296490,Zm00001eb190640,Zm00001eb127020,Zm00001eb100110,Zm00001eb069420,Zm00001eb197570,Zm00001eb200050,Zm00001eb112020,Zm00001eb345600,Zm00001eb098940,Zm00001eb128880,Zm00001eb056290,Zm00001eb287940
Zm00001eb046990,Zm00001eb082570,Zm00001eb427200,Zm00001eb296500,Zm00001eb190660,Zm00001eb127030,Zm00001eb356500,Zm00001eb189390,Zm00001eb163680,Zm00001eb258100,Zm00001eb065690,Zm00001eb351750,Zm00001eb098950,Zm00001eb128890,Zm00001eb419480,Zm00001eb175790
Zm00001eb047000,Zm00001eb114200,Zm00001eb427210,Zm00001eb296510,Zm00001eb190670,Zm00001eb200470,Zm00001eb125390,Zm00001eb252940,Zm00001eb413160,Zm00001eb275000,Zm00001eb297770,Zm00001eb111780,Zm00001eb098960,Zm00001eb388910,Zm00001eb161030,Zm00001eb391050
Zm00001eb356170,Zm00001eb114210,Zm00001eb427220,Zm00001eb296520,Zm00001eb190690,Zm00001eb233940,Zm00001eb431120,Zm00001eb208040,Zm00001eb068300,Zm00001eb079720,Zm00001eb433740,Zm00001eb139470,Zm00001eb179100,Zm00001eb388920,Zm00001eb226060,Zm00001eb060040
Zm00001eb356180,Zm00001eb171180,Zm00001eb427230,Zm00001eb296530,Zm00001eb190680,Zm00001eb233960,Zm00001eb190260,Zm00001eb430650,Zm00001eb280040,Zm00001eb319950,Zm00001eb290570,Zm00001eb051770,Zm00001eb201180,Zm00001eb388930,Zm00001eb248040,Zm00001eb405880
Zm00001eb356190,Zm00001eb057310,Zm00001eb427250,Zm00001eb296540,Zm00001eb190700,Zm00001eb233980,Zm00001eb253800,Zm00001eb349830,Zm00001eb257010,Zm00001eb107130,Zm00001eb193620,Zm00001eb123200,Zm00001eb137230,Zm00001eb388940,Zm00001eb129000,Zm00001eb429140
Zm00001eb356200,Zm00001eb057320,Zm00001eb427260,Zm00001eb296550,Zm00001eb190720,Zm00001eb233990,Zm00001eb373180,Zm00001eb277280,Zm00001eb364930,Zm00001eb192350,Zm00001eb076010,Zm00001eb434280,Zm00001eb091340,Zm00001eb388950,Zm00001eb389680,Zm00001eb168500
Zm00001eb356210,Zm00001eb057330,Zm00001eb427270,Zm00001eb422780,Zm00001eb190730,Zm00001eb234000,Zm00001eb434370,Zm00001eb171860,Zm00001eb360530,Zm00001eb163640,Zm00001eb126630,Zm00001eb130580,Zm00001eb173750,Zm00001eb005920,Zm00001eb389690,Zm00001eb168510
Zm00001eb401310,Zm00001eb057350,Zm00001eb427290,Zm00001eb422790,Zm00001eb190740,Zm00001eb234010,Zm00001eb092850,Zm00001eb000980,Zm00001eb150050,Zm00001eb197570,Zm00001eb007190,Zm00001eb051600,Zm00001eb173760,Zm00001eb072610,Zm00001eb389700,Zm00001eb099650
Zm00001eb401320,Zm00001eb057360,Zm00001eb427300,Zm00001eb422800,Zm00001eb190750,Zm00001eb234020,Zm00001eb315240,Zm00001eb022340,Zm00001eb247070,Zm00001eb048090,Zm00001eb435160,Zm00001eb163570,Zm00001eb173770,Zm00001eb072620,Zm00001eb389710,Zm00001eb099660
Zm00001eb401330,Zm00001eb296100,Zm00001eb095480,Zm00001eb422810,Zm00001eb104320,Zm00001eb271480,Zm00001eb146170,Zm00001eb366030,Zm00001eb212900,Zm00001eb172080,Zm00001eb351740,Zm00001eb237390,Zm00001eb173780,Zm00001eb072630,Zm00001eb389720,Zm00001eb099670
Zm00001eb401340,Zm00001eb296110,Zm00001eb345910,Zm00001eb422820,Zm00001eb104330,Zm00001eb355210,Zm00001eb109860,Zm00001eb281770,Zm00001eb171630,Zm00001eb215930,Zm00001eb127860,Zm00001eb111720,Zm00001eb173790,Zm00001eb218070,Zm00001eb134330,Zm00001eb099680
Zm00001eb401350,Zm00001eb431900,Zm00001eb276140,Zm00001eb082560,Zm00001eb104340,Zm00001eb355220,Zm00001eb438450,Zm00001eb291200,Zm00001eb114890,Zm00001eb125900,Zm00001eb386940,Zm00001eb024230,Zm00001eb173800,Zm00001eb218080,Zm00001eb205230,Zm00001eb099690
Zm00001eb401360,Zm00001eb431910,Zm00001eb276150,Zm00001eb082570,Zm00001eb104350,Zm00001eb355230,Zm00001eb230770,Zm00001eb429090,Zm00001eb378810,Zm00001eb258130,Zm00001eb437270,Zm00001eb433000,Zm00001eb173810,Zm00001eb218090,Zm00001eb205240,Zm00001eb038430
Zm00001eb215570,Zm00001eb431920,Zm00001eb267640,Zm00001eb316260,Zm00001eb104360,Zm00001eb028680,Zm00001eb328050,Zm00001eb320300,Zm00001eb086310,Zm00001eb076470,Zm00001eb129220,Zm00001eb114240,Zm00001eb173820,Zm00001eb085430,Zm00001eb205250,Zm00001eb084230
Zm00001eb359970,Zm00001eb153840,Zm00001eb225970,Zm00001eb316270,Zm00001eb104370,Zm00001eb028690,Zm00001eb017970,Zm00001eb275030,Zm00001eb129440,Zm00001eb418340,Zm00001eb116260,Zm00001eb290350,Zm00001eb173830,Zm00001eb085440,Zm00001eb088740,Zm00001eb084240
Zm00001eb359980,Zm00001eb162240,Zm00001eb225990,Zm00001eb316280,Zm00001eb104380,Zm00001eb028700,Zm00001eb141890,Zm00001eb118920,Zm00001eb366490,Zm00001eb228560,Zm00001eb111690,Zm00001eb305180,Zm00001eb173840,Zm00001eb005870,Zm00001eb228180,Zm00001eb084250
Zm00001eb359990,Zm00001eb350150,Zm00001eb226000,Zm00001eb316290,Zm00001eb267750,Zm00001eb312740,Zm00001eb057790,Zm00001eb427990,Zm00001eb015910,Zm00001eb127210,Zm00001eb331430,Zm00001eb303340,Zm00001eb173870,Zm00001eb005890,Zm00001eb228190,Zm00001eb084260
Zm00001eb360000,Zm00001eb325580,Zm00001eb226010,Zm00001eb316300,Zm00001eb267760,Zm00001eb421910,Zm00001eb178330,Zm00001eb294870,Zm00001eb282730,Zm00001eb130020,Zm00001eb271260,Zm00001eb305800,Zm00001eb173880,Zm00001eb005900,Zm00001eb229770,Zm00001eb230640
Zm00001eb360010,Zm00001eb325590,Zm00001eb122400,Zm00001eb040450,Zm00001eb194070,Zm00001eb268170,Zm00001eb236360,Zm00001eb291140,Zm00001eb355420,Zm00001eb269770,Zm00001eb331590,Zm00001eb084880,Zm00001eb173890,Zm00001eb016310,Zm00001eb229780,Zm00001eb230650
Zm00001eb333630,Zm00001eb325600,Zm00001eb122410,Zm00001eb040460,Zm00001eb194080,Zm00001eb268180,Zm00001eb070480,Zm00001eb258230,Zm00001eb234610,Zm00001eb118090,Zm00001eb199840,Zm00001eb210250,Zm00001eb173900,Zm00001eb016320,Zm00001eb229790,Zm00001eb230660
Zm00001eb333640,Zm00001eb144540,Zm00001eb122420,Zm00001eb040470,Zm00001eb194090,Zm00001eb268100,Zm00001eb328010,Zm00001eb093710,Zm00001eb323550,Zm00001eb337700,Zm00001eb380460,Zm00001eb162630,Zm00001eb173910,Zm00001eb016330,Zm00001eb383530,Zm00001eb230670
Zm00001eb333650,Zm00001eb144560,Zm00001eb152030,Zm00001eb384690,Zm00001eb194100,Zm00001eb268110,Zm00001eb366030,Zm00001eb231620,Zm00001eb397000,Zm00001eb358730,Zm00001eb434170,Zm00001eb156600,Zm00001eb173930,Zm00001eb068950,Zm00001eb048390,Zm00001eb230680
Zm00001eb333660,Zm00001eb144570,Zm00001eb152040,Zm00001eb384700,Zm00001eb194110,Zm00001eb268120,Zm00001eb147420,Zm00001eb159060,Zm00001eb044560,Zm00001eb151150,Zm00001eb331390,Zm00001eb025640,Zm00001eb173940,Zm00001eb421910,Zm00001eb175150,Zm00001eb389550
Zm00001eb403110,Zm00001eb373650,Zm00001eb152050,Zm00001eb181510,Zm00001eb192680,Zm00001eb268130,Zm00001eb231250,Zm00001eb072900,Zm00001eb117090,Zm00001eb298000,Zm00001eb065620,Zm00001eb156570,Zm00001eb091360,Zm00001eb339250,Zm00001eb175160,Zm00001eb389560
Zm00001eb403120,Zm00001eb373660,Zm00001eb421670,Zm00001eb181520,Zm00001eb268080,Zm00001eb411440,Zm00001eb328090,Zm00001eb287610,Zm00001eb327240,Zm00001eb128010,Zm00001eb434240,Zm00001eb368530,Zm00001eb091370,Zm00001eb389120,Zm00001eb383550,Zm00001eb361660
Zm00001eb403130,Zm00001eb414950,Zm00001eb421680,Zm00001eb418980,Zm00001eb194120,Zm00001eb233460,Zm00001eb378270,Zm00001eb415230,Zm00001eb168040,Zm00001eb175880,Zm00001eb366610,Zm00001eb051660,Zm00001eb091380,Zm00001eb389130,Zm00001eb383560,Zm00001eb361670
Zm00001eb403140,Zm00001eb414960,Zm00001eb421690,Zm00001eb319580,Zm00001eb194130,Zm00001eb233470,Zm00001eb356910,Zm00001eb062220,Zm00001eb247820,Zm00001eb249350,Zm00001eb331470,Zm00001eb067130,Zm00001eb091390,Zm00001eb389140,Zm00001eb383570,Zm00001eb361680
Zm00001eb403150,Zm00001eb414970,Zm00001eb421700,Zm00001eb319590,Zm00001eb194140,Zm00001eb233480,Zm00001eb431060,Zm00001eb440690,Zm00001eb130470,Zm00001eb123060,Zm00001eb199710,Zm00001eb239170,Zm00001eb137220,Zm00001eb389150,Zm00001eb385560,Zm00001eb361690
Zm00001eb403160,Zm00001eb316260,Zm00001eb002170,Zm00001eb051220,Zm00001eb194150,Zm00001eb233490,Zm00001eb214610,Zm00001eb203190,Zm00001eb142820,Zm00001eb366490,Zm00001eb331340,Zm00001eb123220,Zm00001eb415530,Zm00001eb131260,Zm00001eb385570,Zm00001eb361700
Zm00001eb128950,Zm00001eb316270,Zm00001eb002180,Zm00001eb051230,Zm00001eb194160,Zm00001eb233500,Zm00001eb140810,Zm00001eb217410,Zm00001eb251580,Zm00001eb081270,Zm00001eb331220,Zm00001eb411120,Zm00001eb091350,Zm00001eb131270,Zm00001eb383320,Zm00001eb361710
Zm00001eb212640,Zm00001eb316280,Zm00001eb002190,Zm00001eb051240,Zm00001eb194170,Zm00001eb233510,Zm00001eb412710,Zm00001eb236860,Zm00001eb302190,Zm00001eb273970,Zm00001eb434260,Zm00001eb219220,Zm00001eb017240,Zm00001eb131280,Zm00001eb236440,Zm00001eb099640
Zm00001eb212650,Zm00001eb316290,Zm00001eb002200,Zm00001eb107160,Zm00001eb194180,Zm00001eb343650,Zm00001eb076930,Zm00001eb294910,Zm00001eb389540,Zm00001eb380200,Zm00001eb308530,Zm00001eb303090,Zm00001eb017260,Zm00001eb138300,Zm00001eb383500,Zm00001eb099010
Zm00001eb212660,Zm00001eb219240,Zm00001eb002210,Zm00001eb107170,Zm00001eb194190,Zm00001eb309030,Zm00001eb440690,Zm00001eb397190,Zm00001eb013220,Zm00001eb021160,Zm00001eb351700,Zm00001eb351790,Zm00001eb017270,Zm00001eb001810,Zm00001eb383510,Zm00001eb099020
Zm00001eb212670,Zm00001eb219250,Zm00001eb002220,Zm00001eb107180,Zm00001eb194200,Zm00001eb174610,Zm00001eb076420,Zm00001eb162630,Zm00001eb232030,Zm00001eb239390,Zm00001eb149990,Zm00001eb345540,Zm00001eb017280,Zm00001eb001820,Zm00001eb248150,Zm00001eb099030
Zm00001eb212680,Zm00001eb291170,Zm00001eb002240,Zm00001eb107190,Zm00001eb194210,Zm00001eb174620,Zm00001eb084880,Zm00001eb294980,Zm00001eb120360,Zm00001eb127690,Zm00001eb170930,Zm00001eb305170,Zm00001eb017290,Zm00001eb001830,Zm00001eb248160,Zm00001eb099040
Zm00001eb212690,Zm00001eb291180,Zm00001eb002250,Zm00001eb107210,Zm00001eb192710,Zm00001eb014780,Zm00001eb414640,Zm00001eb093910,Zm00001eb287260,Zm00001eb069020,Zm00001eb066210,Zm00001eb307360,Zm00001eb017310,Zm00001eb001840,Zm00001eb248170,Zm00001eb372020
Zm00001eb212700,Zm00001eb291190,Zm00001eb002260,Zm00001eb107220,Zm00001eb192720,Zm00001eb014790,Zm00001eb420400,Zm00001eb108850,Zm00001eb231410,Zm00001eb183380,Zm00001eb178450,Zm00001eb248720,Zm00001eb017320,Zm00001eb001860,Zm00001eb236650,Zm00001eb372030
Zm00001eb172190,Zm00001eb291200,Zm00001eb008650,Zm00001eb107230,Zm00001eb192730,Zm00001eb014800,Zm00001eb239560,Zm00001eb071870,Zm00001eb278600,Zm00001eb198890,Zm00001eb136620,Zm00001eb390640,Zm00001eb020660,Zm00001eb001870,Zm00001eb179290,Zm00001eb372040
